method,rep,elapsed_secs,best_score
sa,3,2190,-1140000000000
sa,3,2220,-1140000000000
sa,3,2250,-1140000000000
sa,3,2280,-1140000000000
sa,3,2310,-1140000000000
sa,3,2340,-1140000000000
sa,3,2370,-1140000000000
sa,3,2400,-1140000000000
sa,3,2400,-1140000000000
da,3,30,-1130000000000
da,3,60,-1130000000000
da,3,90,-1130000000000
da,3,120,-1130000000000
da,3,150,-1130000000000
da,3,180,-1130000000000
da,3,210,-1130000000000
da,3,240,-1130000000000
da,3,270,-1130000000000
da,3,300,-1130000000000
da,3,330,-1130000000000
da,3,360,-1130000000000
da,3,390,-1130000000000
da,3,420,-1130000000000
da,3,450,-1130000000000
da,3,480,-1130000000000
da,3,510,-1130000000000
da,3,540,-1100000000000
da,3,570,-1100000000000
da,3,600,-1100000000000
da,3,630,-1100000000000
da,3,660,-1100000000000
da,3,690,-1100000000000
da,3,720,-1100000000000
da,3,750,-1100000000000
da,3,780,-1100000000000
da,3,810,-1100000000000
da,3,840,-1100000000000
da,3,870,-1100000000000
da,3,900,-1100000000000
da,3,930,-1100000000000
da,3,960,-1100000000000
da,3,990,-1100000000000
da,3,1020,-1100000000000
da,3,1050,-1100000000000
da,3,1080,-1100000000000
da,3,1110,-1100000000000
da,3,1140,-1100000000000
da,3,1170,-1100000000000
da,3,1200,-1100000000000
da,3,1230,-1100000000000
da,3,1260,-1100000000000
da,3,1290,-1100000000000
da,3,1320,-1100000000000
da,3,1350,-1100000000000
da,3,1380,-1100000000000
da,3,1410,-1100000000000
da,3,1440,-1100000000000
da,3,1470,-1100000000000
da,3,1500,-1100000000000
da,3,1530,-1100000000000
da,3,1560,-1100000000000
da,3,1590,-1100000000000
da,3,1620,-1100000000000
da,3,1650,-1100000000000
da,3,1680,-1100000000000
da,3,1710,-1100000000000
da,3,1740,-1100000000000
da,3,1770,-1100000000000
da,3,1800,-1100000000000
da,3,1830,-1100000000000
da,3,1860,-1100000000000
da,3,1890,-1100000000000
da,3,1920,-1090000000000
da,3,1950,-1090000000000
da,3,1980,-1090000000000
da,3,2010,-1090000000000
da,3,2040,-1090000000000
da,3,2070,-1090000000000
da,3,2100,-1090000000000
da,3,2130,-1090000000000
da,3,2160,-1090000000000
da,3,2190,-1090000000000
da,3,2220,-1090000000000
da,3,2250,-1090000000000
da,3,2280,-1090000000000
da,3,2310,-1090000000000
da,3,2340,-1090000000000
da,3,2370,-1090000000000
da,3,2400,-1090000000000
mcts,3,30,-2670000000000
mcts,3,60,-2670000000000
mcts,3,90,-2670000000000
mcts,3,120,-2670000000000
mcts,3,150,-2670000000000
mcts,3,180,-2670000000000
mcts,3,210,-2670000000000
mcts,3,240,-2670000000000
mcts,3,270,-2670000000000
mcts,3,300,-2670000000000
mcts,3,330,-2670000000000
mcts,3,360,-2670000000000
mcts,3,390,-2670000000000
mcts,3,420,-2670000000000
mcts,3,450,-2670000000000
mcts,3,480,-2670000000000
mcts,3,510,-2670000000000
mcts,3,540,-2670000000000
mcts,3,570,-2670000000000
mcts,3,600,-2670000000000
mcts,3,630,-2670000000000
mcts,3,660,-2670000000000
mcts,3,690,-2670000000000
mcts,3,720,-2670000000000
mcts,3,750,-2670000000000
mcts,3,780,-2670000000000
mcts,3,810,-2670000000000
mcts,3,840,-2670000000000
mcts,3,870,-2670000000000
mcts,3,900,-2670000000000
mcts,3,930,-2670000000000
mcts,3,960,-2670000000000
mcts,3,990,-2670000000000
mcts,3,1020,-2670000000000
mcts,3,1050,-2670000000000
mcts,3,1080,-2670000000000
mcts,3,1110,-2670000000000
mcts,3,1140,-2670000000000
mcts,3,1170,-2670000000000
mcts,3,1200,-2670000000000
mcts,3,1230,-2670000000000
mcts,3,1260,-2670000000000
mcts,3,1290,-2670000000000
mcts,3,1320,-2670000000000
mcts,3,1350,-2670000000000
mcts,3,1380,-2670000000000
mcts,3,1410,-2670000000000
mcts,3,1440,-2670000000000
mcts,3,1470,-2670000000000
mcts,3,1500,-2670000000000
mcts,3,1530,-2670000000000
mcts,3,1560,-2670000000000
mcts,3,1590,-2670000000000
mcts,3,1620,-2670000000000
mcts,3,1650,-2670000000000
mcts,3,1680,-2670000000000
mcts,3,1710,-2670000000000
mcts,3,1740,-2670000000000
mcts,3,1770,-2670000000000
mcts,3,1800,-2670000000000
mcts,3,1830,-2670000000000
mcts,3,1860,-2670000000000
mcts,3,1890,-2670000000000
mcts,3,1920,-2670000000000
mcts,3,1950,-2670000000000
mcts,3,1980,-2670000000000
mcts,3,2010,-2670000000000
mcts,3,2040,-2670000000000
mcts,3,2070,-2670000000000
mcts,3,2100,-2670000000000
mcts,3,2130,-2670000000000
mcts,3,2160,-2670000000000
mcts,3,2190,-2670000000000
mcts,3,2220,-2670000000000
